Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-02,106.68,106.73,102.81,104.71,55546856
2015-01-05,103.71,104.04,100.96,101.76,67095500
2015-01-06,102.15,102.88,100.2,101.77,68658047
2015-01-07,102.67,103.62,102.17,103.2,41835271
2015-01-08,104.61,107.41,104.09,107.17,61954702
2015-01-09,107.9,108.45,105.56,107.28,56057312
2015-01-12,107.83,107.86,104.19,104.63,51815301
2015-01-13,106.72,108.03,104.3,105.57,70034437
2015-01-14,104.42,105.81,103.9,105.16,51055941
2015-01-15,105.35,105.41,102.14,102.3,62552090
2015-01-16,102.51,103.03,100.75,101.5,81966948
2015-01-20,103.29,104.17,101.98,104.11,85990630
2015-01-21,104.34,106.35,103.69,104.93,57325133
2015-01-22,105.62,107.7,105.09,107.63,79895589
2015-01-23,107.57,108.94,106.82,108.2,52684545
2015-01-26,108.93,109.53,108.03,108.31,58016299
2015-01-27,107.65,107.71,104.41,104.52,99349121
2015-01-28,112.64,113.12,110.43,110.43,153980502
2015-01-29,111.4,114.16,110.67,113.88,88107818
2015-01-30,113.39,114.91,111.91,112.21,87409333
2015-02-02,113.05,114.14,111.16,113.61,65416565
2015-02-03,113.48,114.07,112.63,113.63,54190547
2015-02-04,113.48,115.41,113.3,114.5,73175080
2015-02-05,115.39,115.6,114.64,115.32,43924932
2015-02-06,115.39,115.62,113.9,114.35,45433604
2015-02-09,114,115.22,113.88,115.1,40423058
2015-02-10,115.54,117.43,115.53,117.32,64411500
2015-02-11,118.04,120.1,117.78,120.06,76438094
2015-02-12,121.2,122.57,120.74,121.59,77425393
2015-02-13,122.37,122.37,120.82,122.18,56269528
2015-02-17,122.58,123.9,122.02,122.92,65626154
2015-02-18,122.72,123.8,122.54,123.74,46672228
2015-02-19,123.53,124.04,123.4,123.5,38825395
2015-02-20,123.65,124.51,123.14,124.5,50879800
2015-02-23,125.03,127.88,124.67,127.88,73754926
2015-02-24,127.82,128.46,126.11,127.08,71949955
2015-02-25,126.49,126.53,123.22,123.81,77652619
2015-02-26,123.81,125.82,121.73,125.39,94910392
2015-02-27,125.01,125.53,123.31,123.51,64477117
2015-03-02,124.26,125.27,123.37,124.1,50023805
2015-03-03,123.98,124.53,123.17,124.37,39331475
2015-03-04,124.11,124.57,123.39,123.59,32935150
2015-03-05,123.62,123.78,120.93,121.54,58781709
2015-03-06,123.45,124.38,121.39,121.72,75760739
2015-03-09,123.05,124.58,120.24,122.23,92075684
2015-03-10,121.54,122.31,119.03,119.71,71615542
2015-03-11,119.92,119.96,117.39,117.52,71701240
2015-03-12,117.59,120.08,116.94,118.16,50322339
2015-03-13,119.6,120.57,117.86,118.84,53903886
2015-03-16,119.1,120.13,118.14,120.13,37311763
2015-03-17,121.07,122.41,120.82,122.14,53067567
2015-03-18,122.1,124.17,121.5,123.52,67886267
2015-03-19,123.78,124.26,122.49,122.59,47644957
2015-03-20,123.34,123.45,120.34,121.07,71447678
2015-03-23,122.21,122.94,121.64,122.3,39220602
2015-03-24,122.32,123.13,121.68,121.8,34158272
2015-03-25,121.66,121.92,118.64,118.64,53724892
2015-03-26,118.03,120.06,117.88,119.45,49479015
2015-03-27,119.8,119.89,118.18,118.51,41130690
2015-03-30,119.26,121.53,119.22,121.5,48986854
2015-03-31,121.23,121.61,119.56,119.63,43777097
2015-04-01,120.01,120.3,118.36,119.46,42249076
