Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-02,94.9099,95.27979,92.84981,93.74988,5865382
2015-01-05,93.27929,93.35019,91.78021,92.38025,7788972
2015-01-06,92.57034,93.1899,91.16064,91.89015,6802242
2015-01-07,92.72035,93.1488,92.09975,92.83029,6589483
2015-01-08,93.92968,94.3006,93.55055,93.79098,7578958
2015-01-09,94.0499,95.26951,93.99031,94.25026,8621330
2015-01-12,94.68899,94.75988,93.77043,94.45986,6586222
2015-01-13,95.27979,96.42953,94.69926,95.1904,9363951
2015-01-14,93.99955,94.80098,93.28957,94.22971,6509193
2015-01-15,94.60987,94.96024,94.03962,94.34992,5661680
2015-01-16,93.99955,95.23047,93.98003,95.18012,6115950
2015-01-20,95.22019,95.38973,93.74988,94.73933,7941666
2015-01-21,94.36944,94.73933,93.81974,94.17011,7388868
2015-01-22,94.58008,95.38973,94.00983,95.1493,7013739
2015-01-23,94.92017,95.52946,94.43006,94.71981,4664712
2015-01-26,94.45061,94.99929,93.92968,94.97052,5446895
2015-01-27,94.00983,94.73933,93.36046,93.97078,5389853
2015-01-28,94.14032,94.47014,92.60938,92.67,6044883
2015-01-29,93.10051,93.5002,91.52026,93.22073,7680568
2015-01-30,92.49944,92.94023,90.83082,90.96028,10210618
2015-02-02,91.30038,92.05043,90.05919,91.92919,9390458
2015-02-03,92.4306,94.11052,92.19017,94.10025,12279443
2015-02-04,99.39071,101.93063,98.82046,101.27613,32638506
2015-02-05,100.76034,102.85022,100.51169,102.64473,14089007
2015-02-06,102.67555,102.99407,101.65629,102.01283,8535147
2015-02-09,101.79809,102.50088,101.44874,101.73746,5461981
2015-02-10,101.95118,102.18647,101.17544,101.91111,5722774
2015-02-11,101.85973,102.01283,101.07474,101.85973,5868122
2015-02-12,102.15565,103.84687,101.70664,103.56945,6816759
2015-02-13,103.72357,104.41198,103.42561,104.17566,5175536
2015-02-17,104.23731,104.46336,103.55918,104.12429,4759234
2015-02-18,103.39478,104.34006,103.39478,103.85715,3760147
2015-02-19,104.00099,104.08319,103.53863,103.88797,5094137
2015-02-20,103.78522,104.67913,102.7372,104.5661,5196857
2015-02-23,104.75105,105.22369,104.45308,104.98737,5586334
2015-02-24,104.55583,105.03874,104.36061,104.65858,4099705
2015-02-25,104.66885,105.98402,104.65858,105.57303,6547244
2015-02-26,105.5011,105.71687,104.14484,104.57638,5048949
