Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-02,40.06306,40.47716,39.58035,40.24053,9811875
2015-01-05,39.79804,40.08909,39.268,39.56851,10832954
2015-01-06,39.8714,40.21923,38.91779,39.268,11988509
2015-01-07,39.53775,39.74835,39.23014,39.72942,10508060
2015-01-08,40.12222,40.88888,40.07963,40.68065,9829672
2015-01-09,40.82973,41.09948,40.21923,40.67356,9704411
2015-01-12,40.68065,40.80133,39.76728,39.92345,8957346
2015-01-13,39.95895,40.67356,39.45257,39.80751,11539069
2015-01-14,39.4857,39.52592,38.79238,39.4573,10376619
2015-01-15,39.4573,39.64423,38.17006,38.19135,13776945
2015-01-16,37.93816,38.55102,37.57849,38.34279,12977364
2015-01-20,38.43981,38.89886,38.10854,38.62201,10240227
2015-01-21,38.42088,38.96985,38.3002,38.57232,8391480
2015-01-22,38.91779,40.08909,38.58179,40.06306,11681829
2015-01-23,39.95895,40.25,39.75781,40.07963,7141785
2015-01-26,39.73652,39.73652,38.68827,38.83971,11265140
2015-01-27,37.46255,37.84825,36.71954,37.35843,17203020
2015-01-28,37.83168,38.10854,37.10998,37.16203,10506024
2015-01-29,37.30164,37.89084,36.74794,37.7394,10151800
2015-01-30,37.41995,37.47911,36.06172,36.13271,17496985
2015-02-02,36.26049,36.561,35.44413,36.47109,15459371
2015-02-03,36.70061,37.80092,36.70061,37.77016,14610298
2015-02-04,37.61872,38.28837,37.60926,37.9003,10479718
2015-02-05,37.96893,38.18189,37.80092,37.95,6313146
2015-02-06,37.93816,38.64804,37.83168,37.95,8381638
2015-02-09,37.83168,37.84115,37.30874,37.63765,7968229
2015-02-10,37.89084,38.31203,37.65895,37.89084,7781448
2015-02-11,37.89084,38.43981,37.87901,38.18189,7953488
2015-02-12,38.43981,38.84917,38.22685,38.36646,9193573
2015-02-13,38.28837,38.58179,38.14166,38.56049,6630423
2015-02-17,38.56049,38.85864,38.3002,38.52973,7569924
2015-02-18,38.58179,38.58179,37.91214,38.14876,8246566
2015-02-19,38.14876,38.39958,37.84825,38.37829,5732248
2015-02-20,38.34279,38.4895,37.83168,38.38775,7518527
2015-02-23,38.47767,38.49897,37.91923,38.19135,9947916
2015-02-24,38.23868,38.70956,38.01152,38.4895,16213994
2015-02-25,35.32819,35.69259,34.42191,34.67273,62979525
2015-02-26,34.49763,34.65144,33.69074,34.00782,32524851
2015-02-27,33.97705,34.98744,33.92026,34.84074,29538119
2015-03-02,34.99928,35.13179,34.49763,34.92119,15719500
2015-03-03,34.8786,35.03714,34.45267,34.56862,13686400
2015-03-04,34.44084,34.48817,34.00782,34.19002,15652800
2015-03-05,34.27993,34.32963,33.84218,33.99598,18224701
2015-03-06,33.73806,33.94629,33.111,33.17963,17412900
2015-03-09,33.02905,33.09027,32.62166,32.95134,14137500
2015-03-10,33.18918,33.20802,32.48979,32.66876,16633600
2015-03-11,32.93014,32.97724,32.40972,32.60989,13762599
2015-03-12,31.62791,32.80063,31.51253,32.2284,26260000
2015-03-13,32.57927,32.58869,31.99763,32.23782,14849857
2015-03-16,32.4003,32.70879,32.19072,32.37911,12498900
2015-03-17,32.28021,32.46859,32.20014,32.42856,10408300
2015-03-18,32.36263,33.16092,32.16011,33.02905,13889300
2015-03-19,32.93956,33.04082,32.63108,32.84066,11780901
2015-03-20,32.86892,33.58715,32.8595,33.28102,25140599
2015-03-23,33.30221,33.74492,33.23863,33.45292,12723899
2015-03-24,33.41995,33.50002,33.10911,33.31163,11105900
2015-03-25,33.41995,33.50002,32.20014,32.20014,11312900
2015-03-26,31.9105,32.60047,31.56904,32.0094,13709000
2015-03-27,32.21898,32.33201,31.02978,31.49133,19646000
2015-03-30,31.88224,31.97879,31.48191,31.56904,11118499
2015-03-31,31.29117,31.44895,31.0392,31.15695,13722092
2015-04-01,31.84927,31.86104,31.22053,31.29117,15527501
2015-04-02,31.3312,31.75272,31.22053,31.3995,8527700
2015-04-06,31.07217,31.88224,30.99917,31.83043,9231300
2015-04-07,31.73153,31.81159,31.41833,31.41833,8444809
2015-04-08,31.50311,31.96937,31.11927,31.5243,11664601
2015-04-09,31.55021,31.76921,31.35711,31.55021,7544200
2015-04-10,31.64911,32.20956,31.31943,32.1083,15519700
2015-04-13,32.1083,32.85008,31.90108,32.69937,19703000
2015-04-14,32.68995,32.69937,32.03059,32.52276,11325300
2015-04-15,32.72998,33.26924,32.63108,33.04082,11186076
2015-04-16,32.95134,33.17269,32.80063,32.8124,7559753
2015-04-17,32.52276,32.79121,32.33201,32.53218,10663601
2015-04-20,32.63108,33.45292,32.62166,33.41053,10698027
2015-04-21,33.48824,33.61776,32.92072,33.20802,9363978
2015-04-22,33.30221,33.65073,33.02905,33.50944,9068333
2015-04-23,33.20095,33.70253,33.13031,33.37992,8612800
2015-04-24,33.63895,33.75434,33.1515,33.25982,7621115
2015-04-27,33.38934,33.38934,32.99843,33.07143,8411200
2015-04-28,33.18918,33.23863,32.72998,33.23863,8935889
2015-04-29,33.14208,33.55889,32.88776,33.32105,8641800
2015-04-30,33.31163,33.46234,32.84066,32.97018,10519400
2015-05-01,33.20095,33.93331,33.20095,33.79673,11589000
2015-05-04,33.79673,33.89092,33.57773,33.65073,5092801
2015-05-05,33.44115,33.67192,32.93014,33.16092,8725501
2015-05-06,33.23863,33.37992,32.24724,32.50156,8460538
2015-05-07,32.4474,32.99843,32.26843,32.82418,7754694
2015-05-08,33.14208,33.50002,32.96076,33.41053,7557199
2015-05-11,33.39876,33.81557,33.32811,33.70253,9970300
2015-05-12,33.32105,33.3705,32.89953,32.92072,9029074
2015-05-13,33.01021,33.48118,32.97018,33.30221,6256338
2015-05-14,33.50944,33.7355,33.39876,33.70253,6111901
2015-05-15,33.59656,33.7355,33.29044,33.59656,9725568
2015-05-18,33.48824,33.51886,33.01021,33.24805,8765823
2015-05-19,33.23863,33.50002,33.20802,33.39876,7674699
2015-05-20,33.41053,33.45292,32.77001,33.07143,12001462
2015-05-21,33.09969,33.94273,33.01963,33.82498,13435000
2015-05-22,34.29124,35.59818,34.26299,34.76221,28605300
2015-05-26,34.47021,34.61857,33.25982,33.37992,16964656
2015-05-27,33.62953,33.81557,33.21743,33.77789,13849400
2015-05-28,33.71431,33.91211,33.47176,33.65073,6860210
2015-05-29,33.61776,33.70253,33.25982,33.39876,12397301
