Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-02,36.67035,37.15903,36.10987,36.35957,23605206
2015-01-05,36.19882,36.44959,35.94055,35.95126,32782066
2015-01-06,36.16988,36.2299,35.26004,35.2804,30846081
2015-01-07,35.58154,36.06915,35.27075,36.01878,27724466
2015-01-08,36.26098,37.00043,36.26098,36.69071,31763011
2015-01-09,36.77002,37.11081,36.40136,36.7593,22850020
2015-01-12,36.89004,37.00043,36.2299,36.59962,29397841
2015-01-13,36.9297,37.49018,36.29098,36.49996,31470754
2015-01-14,36.32956,36.90933,35.9084,36.34885,34248724
2015-01-15,36.48924,36.87933,36.0295,36.18917,47123680
2015-01-16,36.12059,36.65964,35.50866,36.44959,62807032
2015-01-20,36.10023,36.46031,35.56546,36.09058,34140194
2015-01-21,35.85053,36.68107,35.76801,36.4796,25143215
2015-01-22,36.55997,37.00043,36.13988,36.90933,27410611
2015-01-23,36.96078,37.02936,36.381,36.43887,24392159
2015-01-26,36.15059,36.29956,35.57082,35.8098,30903214
2015-01-27,34.40056,34.72206,33.55073,34.18944,58452426
2015-01-28,34.47022,34.70063,33.71898,33.78113,36077360
2015-01-29,33.84008,34.2816,33.45963,34.20873,29567275
2015-01-30,33.69004,33.99118,32.99882,33.04061,38719153
2015-02-02,33.06205,33.75006,32.65052,33.65039,38727602
2015-02-03,33.78113,34.05012,32.61302,33.70076,36035720
2015-02-04,33.67143,33.83849,33.30115,33.60014,25052401
2015-02-05,33.68101,33.98958,33.45011,33.93851,20489758
2015-02-06,33.91935,34.00022,33.14048,33.29051,29341196
2015-02-09,33.00003,33.23943,32.67018,32.93086,28705477
2015-02-10,33.199,33.72996,33.05004,33.6991,20200007
2015-02-11,33.67143,33.75975,33.31924,33.5512,18363464
2015-02-12,33.97894,34.13003,33.75975,34.13003,20056635
2015-02-13,34.1992,34.37051,33.93851,34.35986,18037428
2015-02-17,34.39923,34.75249,34.25985,34.74185,19373310
2015-02-18,34.65035,34.70993,34.19068,34.25985,19992777
2015-02-19,34.20877,34.41839,34.05023,34.20877,11017541
2015-02-20,34.14067,34.56948,33.91084,34.40881,20955272
2015-02-23,34.39923,34.50138,33.57993,33.75975,25565509
2015-02-24,33.60972,34.49074,33.5097,34.40881,29605021
2015-02-25,34.03214,34.15131,33.72996,33.93851,24686120
2015-02-26,33.6193,33.88105,33.43096,33.65015,25927255
2015-02-27,33.55865,33.63951,33.20964,33.25007,24426800
2015-03-02,33.29051,34.13003,33.12026,34.05768,25406300
2015-03-03,33.94915,34.38008,33.91084,34.09918,27331900
2015-03-04,33.85977,34.40881,33.71931,34.11939,23005701
2015-03-05,34.25985,34.50138,33.5895,33.72996,21225800
2015-03-06,33.54162,33.68101,33.07983,33.19049,32373100
2015-03-09,33.199,33.27029,32.47865,32.71912,33058701
2015-03-10,32.2403,32.41161,31.49973,31.70084,50278800
2015-03-11,31.97962,32.95959,31.95089,32.32968,49683601
2015-03-12,31.00921,31.60082,30.43463,30.47081,107413519
2015-03-13,30.62935,30.98155,30.36015,30.92835,47954700
2015-03-16,30.92835,31.11136,30.64957,30.83046,33074600
2015-03-17,30.57934,30.73044,30.41123,30.58998,29215500
2015-03-18,30.41123,31.19968,30.30057,30.89004,39833999
2015-03-19,30.77832,31.10072,30.69,30.74108,27414202
2015-03-20,30.99219,31.61891,30.92835,31.31034,64777000
2015-03-23,31.28906,31.79022,31.19968,31.19968,29693899
2015-03-24,31.15924,31.32098,30.74108,30.78789,28471299
2015-03-25,30.78789,30.89004,29.86005,29.88985,37690899
2015-03-26,29.50041,30.40059,29.30995,30.07925,45450100
2015-03-27,30.01115,33.00003,29.84941,31.99983,73857200
2015-03-30,31.6604,32.10092,31.2997,31.46143,51391501
2015-03-31,31.43057,31.93067,31.19968,31.2699,32098463
2015-04-01,31.12094,31.32098,30.64957,30.80918,31531999
2015-04-02,30.79853,31.23053,30.66872,30.80918,20909600
2015-04-06,30.80918,31.24969,30.44953,31.04007,21490901
2015-04-07,31.09008,31.59124,30.99964,31.26033,23257511
2015-04-08,31.23053,31.56038,31.05922,31.31034,18250201
2015-04-09,30.67936,31.61891,30.56977,31.24011,34164928
2015-04-10,31.33055,31.94131,31.33055,31.93067,28084798
2015-04-13,31.8115,32.04984,31.71041,31.72957,23489000
2015-04-14,31.68062,31.94131,31.2699,31.48909,39753999
2015-04-15,32.24988,32.99151,32.06048,32.83084,61049946
2015-04-16,32.85106,32.99151,32.69146,32.86915,28903197
2015-04-17,32.51057,32.7021,32.22009,32.46801,30593600
2015-04-20,32.64038,32.79041,32.52972,32.7287,20649255
2015-04-21,32.93086,32.97023,32.28074,32.43077,19022606
2015-04-22,32.41161,32.71912,32.02856,32.7021,21143428
2015-04-23,32.12007,32.41161,32.01047,32.34884,23775202
2015-04-24,32.41161,32.47865,32.02005,32.0807,22759908
2015-04-27,32.0807,32.69146,32.0807,32.49993,25869500
2015-04-28,32.33926,33.0394,32.22966,33.01918,29572822
2015-04-29,32.56164,33.00003,32.551,32.87979,21819000
2015-04-30,32.71061,32.85106,32.29138,32.551,22013300
