Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-02,42.25954,42.39945,41.80105,42.139,9921091
2015-01-05,42.69004,42.9688,42.08088,42.139,26292566
2015-01-06,42.40914,42.93974,42.23909,42.4608,16897487
2015-01-07,42.78045,43.10871,42.58026,42.98924,13412270
2015-01-08,43.1819,43.5715,43.09902,43.50908,21743628
2015-01-09,43.46926,43.56182,42.94942,43.03122,12733547
2015-01-12,43.06889,43.19804,42.4608,42.64053,11415812
2015-01-13,42.82996,43.23894,42.45111,42.62977,12529494
2015-01-14,42.08088,42.59964,42.07227,42.55981,13447646
2015-01-15,42.82996,42.86009,42.17021,42.379,11193063
2015-01-16,42.35963,42.58995,42.23909,42.52968,15114871
2015-01-20,42.69973,43.32934,42.6104,43.16145,17001970
2015-01-21,42.8913,43.43267,42.76,43.3584,10720340
2015-01-22,43.36917,43.83196,43.06889,43.7803,14709117
2015-01-23,43.59841,43.74801,43.1819,43.31212,12357723
2015-01-26,43.1819,43.22818,42.82996,43.00001,11151811
2015-01-27,42.53937,42.64053,42.14868,42.38977,15274036
2015-01-28,42.58995,42.79014,41.89899,41.92051,13205040
2015-01-29,41.76876,42.14868,41.46956,42.10025,13657918
2015-01-30,41.83226,41.93128,41.11116,41.16928,19192705
2015-02-02,41.21018,41.62992,40.89914,41.5901,15195766
2015-02-03,41.74939,41.84948,41.37054,41.62992,13193126
2015-02-04,41.76876,42.08949,41.61916,41.68051,16399992
2015-02-05,41.80105,41.8215,41.50938,41.79029,11078162
2015-02-06,41.5901,41.76015,41.32103,41.45126,12366250
2015-02-09,41.37915,41.45126,41.03905,41.23063,13370671
2015-02-10,42.92036,43.03122,42.20142,42.39945,32183985
2015-02-11,42.08949,42.48986,41.70096,42.37039,20496181
2015-02-12,42.40914,42.66098,42.07227,42.17021,13818226
2015-02-13,42.05074,42.2294,41.76015,41.98939,10791992
2015-02-17,41.81073,41.87962,41.63961,41.81073,12803972
2015-02-18,41.74939,41.80105,41.46956,41.72894,9789766
2015-02-19,41.68051,42.23909,41.52875,42.10886,16578268
2015-02-20,42.03998,42.10886,41.63961,41.97002,15982330
2015-02-23,41.71064,42.17021,41.69127,41.84948,11830339
2015-02-24,41.84948,42.33057,41.76876,42.12931,12782658
2015-02-25,42.17021,42.23909,41.7397,42.05074,10323318
