Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-02,75.56,75.9,74.27,74.78,1352781
2015-01-05,74.32,74.32,72.36,73,3617298
2015-01-06,69.23,69.54,65.12,66.87,16868909
2015-01-07,67.49,70.05,67.01,68.71,8488148
2015-01-08,69.1,70.35,68.71,70,3837149
2015-01-09,70.1,70.23,68.54,69.26,2366193
2015-01-12,69.42,69.97,68.75,69.33,2593933
2015-01-13,69.81,70.53,67.71,68.42,2885887
2015-01-14,65.21,66.97,65.1,66.52,5445475
2015-01-15,67.36,68,66,66.01,3282503
2015-01-16,65.98,67.25,65.42,67.01,3618878
2015-01-20,66.81,67.65,66.52,67.01,3113934
2015-01-21,68.72,69.2,67.78,68.5,2960950
2015-01-22,68.78,69.45,68,69.09,2331705
2015-01-23,69.86,70.01,68.78,69.33,3095003
2015-01-26,69.55,70.05,69.22,69.88,2419861
2015-01-27,69.3,71,68.76,70.78,3197319
2015-01-28,71.31,71.37,69.93,69.99,2636181
2015-01-29,72.47,73,71.08,72.53,4376564
2015-01-30,71.43,72.28,70.43,70.79,3198219
2015-02-02,70.99,71.76,70.32,71.56,2484040
2015-02-03,70.65,72.25,70.31,72.22,2899454
2015-02-04,69.68,71.98,69.68,71.38,5097932
2015-02-05,68,70.65,67.11,69.77,16900504
2015-02-06,70.08,72.64,69.85,72,6387496
2015-02-09,71.74,72.69,70.77,71.39,3427511
2015-02-10,72.08,72.25,70.5,71.27,3489596
2015-02-11,71.33,71.71,70.67,71.02,2648307
2015-02-12,71.52,72.09,70.81,71.55,2686805
2015-02-13,71.73,73.28,71.62,73.27,3226584
2015-02-17,72.9,73.47,72.65,72.75,2403462
2015-02-18,72.46,72.5,69.68,69.8,6018559
2015-02-19,70.15,70.65,69.49,69.59,4041642
2015-02-20,69.47,69.58,68.51,68.98,4208965
2015-02-23,68.98,70.54,68.95,69.71,3105560
2015-02-24,70.02,70.1,68.31,68.39,2817813
2015-02-25,69.39,69.46,68.2,68.56,3242257
2015-02-26,68.66,68.85,67.74,67.89,2917693
2015-02-27,68.12,68.49,67.4,67.41,3035246
2015-03-02,67.46,68.33,67.41,67.95,2645100
2015-03-03,67.59,68.42,67.16,68.34,2178700
2015-03-04,68.17,68.93,67.1,67.14,2957200
2015-03-05,67.28,67.49,66.1,67.14,2959000
2015-03-06,66.98,67.19,65.76,65.98,3385200
2015-03-09,64.3,64.95,63.31,64.33,6504900
2015-03-10,63.88,65.07,63.84,64.7,2869800
2015-03-11,64.69,65.58,64.37,65.22,2995800
2015-03-12,65.49,65.6,64.24,65.42,3232000
2015-03-13,65.39,66.25,64.34,64.74,2570400
2015-03-16,64.99,65.05,64.3,64.53,2652100
2015-03-17,64.25,65.09,64.07,64.81,1919300
2015-03-18,64.81,66.62,64.56,66.36,2386800
2015-03-19,66.17,66.85,65.99,66.82,2031100
2015-03-20,67.12,67.2,66.13,66.13,3095100
2015-03-23,66.51,68.57,66.35,67.89,3104300
2015-03-24,67.8,68.14,67.19,67.72,2246000
2015-03-25,67.94,68.82,67.73,68.01,2372200
2015-03-26,67.61,67.88,66.65,66.66,1772400
2015-03-27,66.63,67.12,66.08,66.97,1639500
2015-03-30,67.25,67.4,66.23,66.26,2458400
2015-03-31,66.27,66.66,65.55,65.75,3701142
2015-04-01,63.96,65,63.4,64.08,6071500
2015-04-02,64.18,64.94,63.21,63.39,3871000
2015-04-06,63.07,63.8,63.06,63.5,3411700
2015-04-07,63.6,64.94,63.6,64.38,2066596
2015-04-08,64.15,65.31,64.11,64.88,2763300
