Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-02,96.54853,96.95273,94.10896,95.02816,2492878
2015-01-05,94.50906,94.5501,93.13437,93.49959,3444586
2015-01-06,93.88942,94.15,92.0695,92.94971,3787815
2015-01-07,93.60833,95.299,93.10154,94.87018,3628030
2015-01-08,95.65806,97.09841,95.61907,97.06148,2998522
2015-01-09,96.93427,96.99377,95.60061,95.99045,2344460
2015-01-12,95.91043,96.51775,95.22924,95.85913,2815367
2015-01-13,96.33925,97.44926,94.63012,95.00764,3091093
2015-01-14,93.43803,94.37159,92.90867,93.71092,3375127
2015-01-15,94.63012,94.68141,92.57013,92.81019,2117475
2015-01-16,92.76915,93.13437,92.03051,92.99075,4384999
2015-01-20,93.43803,93.88942,92.61937,93.60833,4695289
2015-01-21,93.11385,94.12948,93.01126,93.5119,2927029
2015-01-22,94.35107,96.10945,93.56114,95.84887,3475865
2015-01-23,96.20178,96.7496,95.64985,96.16074,3390503
2015-01-26,96.00071,96.47056,95.54931,96.34951,2482046
2015-01-27,95.299,95.45288,94.11717,94.49675,3348433
2015-01-28,94.99739,95.31951,93.24927,93.30877,3082648
2015-01-29,93.66988,94.87018,93.17335,94.87018,3401183
2015-01-30,93.9202,94.36133,92.10232,92.25005,4053161
2015-02-02,92.67887,92.69119,90.77277,91.91766,4028278
2015-02-03,92.22954,93.38879,92.03051,93.34981,3970058
2015-02-04,92.76915,93.26774,92.27057,92.53935,3593557
2015-02-05,92.8779,93.58986,92.55987,93.33955,2877174
2015-02-06,93.397,93.47086,91.54014,91.79045,3690792
2015-02-09,91.51962,91.70018,90.6907,91.16877,3669697
2015-02-10,91.74121,93.10154,91.21801,92.75069,3847303
2015-02-11,92.49011,92.75069,90.94922,91.30829,4270097
2015-02-12,91.46422,92.65836,90.79739,91.99974,5927894
2015-02-13,92.02025,92.57013,91.8992,92.04077,3847781
2015-02-17,91.74121,92.89842,91.72069,91.86227,3685478
2015-02-18,91.54014,93.77247,91.43139,93.62064,4071858
2015-02-19,93.47907,94.2608,93.47907,93.70066,3302616
2015-02-20,93.60833,95.28874,93.34981,94.92968,3698975
2015-02-23,94.99739,95.22924,94.27926,95.00764,2311108
2015-02-24,94.75117,95.54111,94.75117,95.4221,2619714
2015-02-25,95.4221,97.19894,95.4221,96.81937,3526776
2015-02-26,96.66212,97.33111,96.65393,96.98741,2967471
2015-02-27,96.94649,97.41294,96.63348,97.11834,3559338
2015-03-02,96.88716,98.85936,96.75214,98.75093,5512399
2015-03-03,98.43996,98.4686,97.11834,97.97146,3519200
2015-03-04,97.66867,97.87121,96.95672,97.51524,2426501
2015-03-05,98.00215,98.67932,97.78938,98.46042,3316800
2015-03-06,98.46042,98.6916,96.60074,96.90762,3587300
2015-03-09,97.0897,97.82007,96.93831,97.4334,2969400
2015-03-10,96.41866,96.96695,96.24681,96.51073,3547900
2015-03-11,96.37979,97.07742,95.18297,95.3405,3742001
2015-03-12,95.49803,97.09788,95.37937,95.49599,2905001
2015-03-13,97.03855,97.4825,95.29958,95.81105,3698000
2015-03-16,96.19771,96.79919,95.93175,96.43912,4248501
2015-03-17,96.13838,96.78078,95.51031,96.53937,3204100
2015-03-18,96.53937,97.87121,95.61055,97.5091,4427800
2015-03-19,97.80984,98.61999,97.2104,98.31925,6768000
2015-03-20,102.62371,103.79394,101.24481,101.97109,14889899
2015-03-23,101.57624,102.59507,101.19367,101.45758,5235900
2015-03-24,101.0525,101.65603,100.6106,100.66175,3799401
2015-03-25,101.01159,101.17321,98.93914,98.98824,4066700
2015-03-26,98.33971,100.09505,97.66867,99.3299,4739800
2015-03-27,99.12122,100.18711,99.12122,99.88228,2201700
2015-03-30,101.21412,101.54555,100.54922,100.90111,2717700
2015-03-31,100.89293,101.84015,100.29759,100.33646,3154616
2015-04-01,100.00094,100.28736,98.33971,99.54881,3302600
2015-04-02,100.04595,100.32827,99.38923,99.65928,1920199
2015-04-06,98.75093,100.64129,98.55043,99.72884,2513700
2015-04-07,99.72884,100.2669,99.47106,99.61018,1996819
2015-04-08,100.00094,100.9809,99.71861,100.85201,3261100
2015-04-09,101.01159,101.68672,100.6106,100.73131,2650093
2015-04-10,100.9318,101.08319,99.93138,99.9723,2959000
2015-04-13,99.9723,100.06641,99.05985,99.27057,3656799
2015-04-14,99.05985,99.81067,98.69978,99.53039,2385400
2015-04-15,100.64129,100.74153,99.72884,99.83113,2850456
2015-04-16,99.48948,100.17484,99.40151,99.90274,2051969
2015-04-17,99.17032,99.36877,98.14126,98.55043,3024701
2015-04-20,99.08031,100.34669,99.01893,99.99275,3104286
2015-04-21,100.77222,100.86224,99.71861,100.29759,2562643
2015-04-22,100.30782,100.39579,99.29103,100.15438,1952896
2015-04-23,99.77999,101.5967,99.45061,101.10365,2334001
2015-04-24,100.46739,101.2755,100.21575,100.96044,2166952
2015-04-27,101.26527,101.99155,100.78245,100.95021,2579100
2015-04-28,100.6822,100.81109,99.19078,99.86182,3015811
2015-04-29,99.53039,100.49808,99.2583,100.17484,2697500
2015-04-30,99.7493,100.51854,98.46042,98.84094,3248400
2015-05-01,99.88228,100.83155,99.40969,100.79063,3341700
2015-05-04,101.01159,101.19367,100.48785,100.84178,2278799
2015-05-05,100.4367,100.8827,100.2669,100.42647,2552199
2015-05-06,100.27713,101.01159,99.67974,100.22803,2697950
2015-05-07,100.45716,101.58647,100.0214,101.44735,2763164
2015-05-08,102.28206,103.30089,102.28206,102.43345,2767299
2015-05-11,102.41299,103.21905,102.08156,102.78533,2669900
2015-05-12,101.97109,102.68509,101.5967,102.36184,2338231
2015-05-13,102.68509,102.726,101.78901,102.15112,2254144
2015-05-14,102.93877,103.51161,102.30251,103.44,2716600
2015-05-15,103.65482,105.03372,103.37045,104.98257,3932538
2015-05-18,105.10328,105.49403,104.42815,104.75139,2522492
2015-05-19,104.97234,105.17488,104.35859,104.65115,2985645
2015-05-20,104.9212,105.14419,104.21743,104.6225,2700152
2015-05-21,104.87005,105.19534,104.24811,104.40769,2727499
2015-05-22,104.90074,105.2158,104.04558,104.43838,2827301
2015-05-26,104.43838,104.75139,103.17814,103.41955,2845683
2015-05-27,103.48092,103.92487,102.30251,102.83648,4448301
2015-05-28,102.22597,102.94822,101.51187,102.29533,2890833
2015-05-29,102.16476,102.37491,101.04057,101.66285,2781100
2015-06-01,101.76282,102.28717,101.45066,101.75466,2472076
2015-06-02,101.79343,102.68911,101.50167,102.10355,2487338
2015-06-03,102.28717,103.089,101.76282,102.50548,2383301
2015-06-04,102.05254,103.30119,101.61184,101.94441,2233500
2015-06-05,101.50167,102.24637,101.13238,102.02398,1895799
2015-06-08,101.53227,101.8832,101.37925,101.44046,2157000
2015-06-09,101.58124,101.924,100.78757,101.35069,1738272
2015-06-10,101.82403,104.03365,101.65265,103.342,3135084
2015-06-11,105.09255,105.12112,103.47053,103.88267,3089014
2015-06-12,103.55214,104.10506,103.20938,103.7827,2066100
2015-06-15,103.0992,103.85206,102.72991,103.3522,2450900
2015-06-16,103.48073,104.98034,103.44197,104.56616,2517001
2015-06-17,104.74775,105.16804,104.08466,104.75795,2036199
2015-06-18,105.05175,106.66765,105.01094,105.99231,2845200
2015-06-19,106.04332,106.84719,105.93315,106.52687,3642700
2015-06-22,106.85739,107.45111,106.64928,106.78802,2093300
2015-06-23,107.20016,107.26137,106.81863,107.20016,2967143
2015-06-24,107.20016,107.37358,106.03312,106.2147,2528001
2015-06-25,106.80842,106.80842,104.67634,105.21701,5405600
2015-06-26,108.45493,110.33606,105.21701,109.7097,10143800
2015-06-29,109.269,109.49343,107.66126,107.67146,4502400
2015-06-30,108.8487,108.8793,107.80204,108.02443,3765555
2015-07-01,108.95071,109.43222,108.59571,109.43222,2961900
2015-07-02,109.90148,110.72779,109.08537,109.86068,2950001
2015-07-06,109.08537,110.5054,109.00988,109.84027,2495600
2015-07-07,110.07491,111.33172,109.05681,111.29091,3603501
2015-07-08,110.21568,110.7482,108.99968,109.269,3366800
2015-07-09,110.23609,110.91958,109.18739,109.44242,3084200
2015-07-10,110.52581,110.79716,108.99968,110.5156,2580000
2015-07-13,111.30111,112.55384,110.79716,112.41714,2523800
2015-07-14,112.83948,113.05779,111.92135,112.34573,2780708
2015-07-15,112.00297,112.39674,111.69284,111.90299,2508469
2015-07-16,112.75787,112.90069,111.85199,112.34573,2167799
2015-07-17,112.37634,112.97822,111.90299,112.79867,2272600
2015-07-20,113.26794,113.55358,112.81908,113.12716,2989100
2015-07-21,112.99862,113.57398,112.71706,112.98842,2313099
2015-07-22,112.87008,114.21462,112.87008,114.08405,2977000
2015-07-23,114.49618,114.69613,113.81065,114.00244,3357299
2015-07-24,114.17382,114.17382,112.47427,112.98842,2983601
2015-07-27,112.55384,112.92109,110.95018,111.73161,3324001
2015-07-28,112.07438,113.91266,111.85199,113.47196,3474100
2015-07-29,113.58418,115.33882,113.50257,114.91852,3419945
2015-07-30,114.94708,115.39798,113.94327,115.00829,2797000
2015-07-31,115.5,115.94274,114.82671,115.22048,2539299
2015-08-03,115.5102,116.00395,113.59438,114.82671,2495999
2015-08-04,114.94708,115.93254,114.3248,115.77339,2614401
2015-08-05,116.61603,117.71982,116.35487,116.74865,3426500
2015-08-06,116.99552,117.50355,114.3656,115.12051,3105652
2015-08-07,114.71653,114.95728,113.09859,114.50638,2953900
2015-08-10,115.38982,116.17329,114.84711,115.35922,2306601
2015-08-11,114.13505,114.98789,113.63111,114.45742,2552436
2015-08-12,113.54337,113.75148,110.64618,113.05779,3587301
2015-08-13,113.26794,114.52475,112.94965,113.60254,2953799
2015-08-14,113.59438,114.55535,113.1088,114.3554,2343000
2015-08-17,114.11465,115.13071,113.08839,114.97769,1958700
2015-08-18,115.12051,115.68158,114.58595,114.81651,1835700
2015-08-19,114.00244,116.05495,113.55358,114.95728,3108201
2015-08-20,113.71272,114.44722,112.24576,112.30493,3268400
2015-08-21,111.47045,111.66224,106.83699,106.86759,7956401
2015-08-24,100.26526,107.38378,94.4974,103.87247,9941105
2015-08-25,107.28177,107.31237,103.48073,103.53174,6808001
2015-08-26,106.49626,109.00988,103.98468,108.75893,7578000
2015-08-27,110.36258,112.68646,109.63421,112.62525,6808600
2015-08-28,112.60485,112.99862,111.64388,112.50283,3763000
2015-08-31,112.39674,112.49263,111.2297,111.75201,3536700
2015-09-01,108.97928,109.83007,108.03463,108.63651,4692600
2015-09-02,110.14631,110.77676,109.19759,110.69719,4268100
2015-09-03,111.22921,112.0921,110.40702,110.84661,3032499
2015-09-04,109.22665,110.42737,108.94174,109.68456,3563499
2015-09-08,111.45918,111.8723,110.21572,111.7502,2755601
2015-09-09,112.71281,112.99162,109.60315,109.85754,3174800
2015-09-10,109.65403,111.03994,108.94174,110.37649,3681451
2015-09-11,110.2259,111.84178,109.98779,111.82143,2794700
2015-09-14,111.50802,112.06157,111.13763,111.89062,3416600
2015-09-15,111.9008,114.07633,110.79573,113.83619,3849601
2015-09-16,114.32665,115.90997,113.83619,115.58028,4052200
2015-09-17,115.23838,116.79118,114.55662,115.26891,4031320
2015-09-18,114.14756,115.62913,113.75478,115.04708,9307400
2015-09-21,115.66983,117.09441,114.7581,116.56121,4373200
2015-09-22,115.24856,116.16029,114.37753,115.96899,3777699
2015-09-23,115.96899,116.59988,115.19768,115.42968,4527798
2015-09-24,114.29613,115.1468,113.50447,114.78862,7123441
2015-09-25,123.12649,125.95326,122.69708,125.0049,18484000
2015-09-28,124.50223,124.76069,120.85327,122.13539,8225226
2015-09-29,121.99497,122.08451,119.04608,119.67086,7207200
2015-09-30,120.74133,123.11835,120.74133,122.96775,4718901
2015-10-01,123.15702,123.9385,121.28064,123.8286,4497100
2015-10-02,122.08451,125.21248,121.56556,125.21248,4557200
2015-10-05,125.8454,126.48646,124.0891,124.27226,4823511
2015-10-06,124.27226,124.80139,122.58515,123.18551,3832600
2015-10-07,123.60881,124.45135,121.00386,122.09469,5111530
2015-10-08,122.91687,125.24301,122.66655,124.91332,3811300
2015-10-09,124.55718,125.34069,124.0891,124.94385,3468500
2015-10-12,125.20231,127.097,125.02525,126.42541,2724455
2015-10-13,125.88611,126.53734,125.59508,125.81488,3177600
2015-10-14,125.99397,126.60857,125.39157,125.8454,3254532
2015-10-15,127.21911,129.17078,126.95658,128.79225,5382300
