Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-02,81.60011,81.78922,80.63137,81.02063,3795433
2015-01-05,80.99078,81.0903,79.85836,80.41019,6213408
2015-01-06,80.95981,82.05131,80.6004,81.10026,10011489
2015-01-07,82.05131,82.05131,81.02063,81.70849,7525060
2015-01-08,82.32003,83.57962,82.31008,82.93932,6594445
2015-01-09,83.54092,83.64929,82.46933,82.71925,4301316
2015-01-12,83.11073,83.6692,82.64074,83.04991,3997208
2015-01-13,83.31864,83.97995,82.6706,83.10078,5810104
2015-01-14,82.26032,83.46129,82.25036,83.41927,4629168
2015-01-15,82.79998,83.41927,82.57107,82.81989,5088125
2015-01-16,82.99019,83.20141,82.19065,82.70045,7302271
2015-01-20,83.21026,83.9899,82.89066,83.57962,6165081
2015-01-21,83.07977,84.6114,82.71925,84.54947,4518418
2015-01-22,85.03937,85.29041,84.43004,85.15881,6069614
2015-01-23,84.67001,84.74853,82.70045,82.81989,6649346
2015-01-26,82.94928,83.41042,82.49808,83.04991,4658495
2015-01-27,82.53126,82.71925,81.38115,81.60011,8541865
2015-01-28,82.0303,82.29902,80.38807,80.57828,5655354
2015-01-29,80.51083,81.50058,80.31951,81.21858,4108215
2015-01-30,80.53184,81.18983,80.10055,80.23989,6692745
2015-02-02,80.23989,81.69964,80.06074,81.62886,4129577
2015-02-03,81.99933,82.44057,81.80912,82.23931,4103105
2015-02-04,82.04025,82.59871,81.85004,82.08006,5151070
2015-02-05,82.41956,83.23901,81.31037,82.57107,6317062
2015-02-06,82.32003,82.32003,80.93991,81.27056,5942872
2015-02-09,80.80941,81.48178,80.55838,80.83042,4357164
2015-02-10,80.92,81.20974,80.53184,81.07924,6732060
2015-02-11,81.38889,82.73031,81.16108,82.48039,5670479
2015-02-12,82.7093,83.72007,82.58102,83.69021,5324500
2015-02-13,83.50995,83.86051,82.65954,82.86965,4924679
2015-02-17,82.79998,82.84975,82.29902,82.7093,4391318
2015-02-18,82.33994,83.0101,82.23931,83.00125,2487270
2015-02-19,82.95923,83.04991,82.40961,82.61973,3774272
2015-02-20,82.46933,83.12953,82.25036,83.03996,3572406
2015-02-23,82.79998,82.94928,82.28022,82.89066,3362441
2015-02-24,82.7093,83.62054,82.64074,83.50995,3313791
2015-02-25,83.50995,83.72007,83.20141,83.46904,2850182
2015-02-26,83.23901,83.40047,82.57107,82.79998,2972814
2015-02-27,82.73031,83.10078,82.13978,82.95923,5971689
2015-03-02,82.87961,83.21911,82.64074,82.94928,3188799
2015-03-03,82.62968,82.99019,82.45937,82.70045,3597500
2015-03-04,82.69161,82.70045,81.69079,82.17074,3582400
2015-03-05,82.2006,82.3709,81.53818,81.70849,3418800
2015-03-06,81.27941,81.35018,79.7898,80.05078,7757400
2015-03-09,80.18017,80.6004,80.06848,80.45111,4574201
2015-03-10,79.99991,79.99991,79.05992,79.25013,7066800
